go,0
ve,1
vete,2
vaya,3
vayase,4
hi,5
hola,6
run,7
corre,8
corran,9
huye,10
corra,11
corred,12
who,13
quien,14
wow,15
orale,16
duck,17
inclinate,18
fire,19
fuego,20
incendio,21
disparad,22
help,23
ayuda,24
socorro,25
auxilio,26
hide,27
escondete,28
jump,29
salta,30
salte,31
salto,32
stay,33
quedate,34
stop,35
parad,36
para,37
pare,38
wait,39
espera,40
esperen,41
esperate,42
esperad,43
begin,44
empieza,45
do,46
it,47
hacedlo,48
on,49
continua,50
continue,51
hello,52
hurry,53
date,54
prisa,55
daos,56
dese,57
i,58
hid,59
me,60
oculte,61
escondi,62
ocultaba,63
escondia,64
ran,65
corri,66
corria,67
try,68
lo,69
intento,70
won,71
he,72
ganado,73
yo,74
oh,75
no,76
relax,77
tomatelo,78
con,79
soda,80
tranquila,81
shoot,82
disparen,83
dispara,84
dispare,85
smile,86
sonrie,87
sorry,88
disculpa,89
attack,90
al,91
ataque,92
atacad,93
ataquen,94
ataca,95
buy,96
comprela,97
compralo,98
eat,99
cometelo,100
comeoslo,101
comaselo,102
comanselo,103
get,104
up,105
levanta,106
now,107
ahora,108
mismo,109
id,110
vayan,111
ya,112
got,113
tengo,114
pillas,115
entendiste,116
el,117
corrio,118
hop,119
in,120
metete,121
adentro,122
hug,123
abrazame,124
care,125
preocupo,126
fell,127
cai,128
fled,129
hui,130
escape,131
huia,132
escapaba,133
know,134
se,135
left,136
sali,137
lied,138
menti,139
lost,140
perdi,141
paid,142
pague,143
quit,144
dimito,145
renuncie,146
dejo,147
sang,148
cante,149
wept,150
llore,151
lloraba,152
work,153
estoy,154
trabajando,155
i'm,156
diecinueve,157
levantado,158
listen,159
escucha,160
escuche,161
escuchen,162
way,163
puede,164
ser,165
de,166
ninguna,167
manera,168
imposible,169
ningun,170
modo,171
eso,172
nada,173
ni,174
cagando,175
mangos,176
minga,177
en,178
pedo,179
really,180
serio,181
la,182
verdad,183
thanks,184
gracias,185
pruebalo,186
a,187
que,188
si,189
veras,190
we,191
ate,192
comimos,193
procuramos,194
ganamos,195
why,196
por,197
ask,198
tom,199
preguntale,200
him,201
awesome,202
be,203
calm,204
mantente,205
calma,206
cool,207
estate,208
tranquilo,209
fair,210
justo,211
good,212
bueno,213
buena,214
sed,215
buenas,216
buenos,217
sea,218
sean,219
kind,220
gentiles,221
nice,222
agradable,223
beat,224
pirate,225
bury,226
entierralo,227
call,228
llamame,229
llamadme,230
us,231
llamanos,232
come,233
entre,234
pase,235
entren,236
andale,237
drop,238
sueltalo,239
fold,240
doblalo,241
agarra,242
out,243
bajate,244
sal,245
salid,246
salgan,247
away,248
aqui,249
largate,250
salga,251
largo,252
calle,253
larguese,254
home,255
casa,256
slow,257
despacio,258
goodbye,259
hasta,260
luego,261
vista,262
chau,263
hang,264
un,265
momento,266
segundo,267
fuertemente,268
came,269
vino,270
fue,271
ayudame,272
echame,273
una,274
mano,275
ayudanos,276
hit,277
golpea,278
hold,279
sostenlo,280
sostenedlo,281
sostengalo,282
sostenganlo,283
sostenganla,284
sostengala,285
sostenla,286
sostenedla,287
resista,288
resiste,289
sujeta,290
abraza,291
agree,292
acuerdo,293
acepto,294
bowed,295
incline,296
cried,297
fired,298
froze,299
congele,300
hele,301
quede,302
quieto,303
moved,304
mudado,305
mude,306
traslade,307
trasladado,308
slept,309
dormi,310
tried,311
intente,312
